id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252610@應用倫理學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1254310@自我知識@1@1,1252306@語言哲學@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253500@科學哲學@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254304@知覺哲學@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1251010@哲學寫作@2@5,1251407@基礎邏輯（下）@2@2,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1251012@哲學概論（二）@2@2,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1254503@生物哲學概論@2@1
402125002,75,84,NaN,96,NaN,NaN,81,NaN,90,74,90,84,NaN,80,90,83,78,NaN,85,NaN,89,NaN,NaN,NaN,79,NaN,NaN,NaN,86,88,78,83,NaN,88,NaN,NaN,NaN,NaN,NaN,84,80,85,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
402125003,77,70,70,77,80,NaN,NaN,NaN,83,69,NaN,67,NaN,-1,60,60,62,84,73,NaN,84,NaN,NaN,NaN,92,NaN,NaN,NaN,73,75,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
402125004,72,76,NaN,72,NaN,87,NaN,NaN,80,79,90,78,NaN,NaN,71,75,75,NaN,82,NaN,NaN,NaN,NaN,NaN,67,63,76,52,90,87,91,72,NaN,NaN,80,NaN,NaN,65,85,NaN,85,90,98,NaN,NaN,81,NaN,NaN,60,NaN,94,NaN,NaN,90,NaN,NaN,83,76,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN
402125006,93,96,NaN,96,NaN,NaN,83,NaN,92,97,95,87,NaN,84,90,79,NaN,NaN,100,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,80,NaN,83,84,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
402125007,89,83,90,94,NaN,NaN,80,NaN,84,89,NaN,81,NaN,NaN,83,74,77,60,94,NaN,86,NaN,NaN,NaN,94,NaN,70,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,80,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
402125009,84,83,85,80,85,NaN,NaN,NaN,84,75,NaN,80,NaN,NaN,77,77,72,78,79,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,78,70,86,NaN,89,NaN,NaN,68,NaN,NaN,NaN,70,NaN,85,NaN,83,NaN,NaN,NaN,NaN,NaN,97,NaN,92,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125010,82,74,NaN,91,88,NaN,NaN,NaN,81,73,90,87,NaN,87,83,72,74,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,85,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,68,NaN,84,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125011,80,83,95,86,NaN,NaN,NaN,86,88,76,NaN,75,81,-1,76,81,82,NaN,84,NaN,NaN,NaN,NaN,NaN,76,NaN,79,NaN,80,-1,NaN,61,81,NaN,NaN,66,NaN,NaN,NaN,NaN,90,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125012,75,70,NaN,73,86,NaN,NaN,NaN,85,63,99,70,NaN,NaN,60,72,65,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,82,NaN,83,NaN,NaN,NaN,72,60,52,NaN,NaN,80,NaN,47,67,NaN,NaN,NaN,NaN,NaN,NaN,73,83,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125013,63,95,75,80,NaN,NaN,NaN,74,78,82,NaN,82,NaN,-1,74,72,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,72,NaN,86,63,76,71,69,-1,NaN,67,93,NaN,61,NaN,NaN,NaN,70,NaN,90,NaN,NaN,86,NaN,NaN,NaN,NaN,79,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
402125014,85,75,NaN,90,90,NaN,NaN,NaN,86,63,85,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125015,74,93,85,87,86,NaN,NaN,NaN,87,97,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125016,78,92,NaN,95,89,NaN,NaN,NaN,82,91,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125017,84,82,95,92,NaN,NaN,NaN,94,87,86,NaN,93,99,NaN,91,83,92,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,92,96,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,93,99,NaN,NaN,NaN,NaN,NaN,NaN,96,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125018,78,80,NaN,82,86,NaN,NaN,NaN,88,78,90,71,NaN,NaN,74,78,76,NaN,87,NaN,NaN,NaN,NaN,NaN,76,NaN,90,NaN,NaN,-1,70,-1,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,81,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402125019,78,83,85,82,NaN,NaN,NaN,81,79,84,NaN,73,NaN,-1,75,68,86,NaN,71,91,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,81,90,77,NaN,63,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402125020,72,70,NaN,76,NaN,NaN,NaN,77,84,52,90,63,NaN,NaN,74,60,70,NaN,74,NaN,80,NaN,NaN,NaN,81,NaN,NaN,NaN,77,80,NaN,82,NaN,NaN,NaN,NaN,74,70,NaN,NaN,60,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125021,75,85,90,81,NaN,NaN,82,NaN,76,77,NaN,76,NaN,NaN,77,76,99,72,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,55,NaN,90,78,87,NaN,NaN,NaN,NaN,NaN,84,83,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,85,NaN,95,NaN,NaN,NaN,-1,NaN,92,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402125022,73,98,NaN,92,NaN,NaN,85,NaN,76,76,85,81,NaN,-1,83,95,NaN,78,63,86,50,NaN,NaN,NaN,57,NaN,85,72,NaN,NaN,NaN,83,NaN,94,91,42,69,NaN,NaN,82,NaN,62,77,NaN,70,89,NaN,NaN,50,NaN,80,NaN,NaN,NaN,85,NaN,79,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1
402125023,82,82,85,82,NaN,NaN,76,NaN,83,90,NaN,90,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,70,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125025,72,74,95,81,89,NaN,NaN,NaN,79,73,NaN,65,NaN,-1,87,69,74,NaN,86,NaN,82,NaN,NaN,NaN,40,NaN,78,NaN,NaN,87,NaN,75,NaN,NaN,NaN,NaN,NaN,76,NaN,87,65,NaN,NaN,30,NaN,NaN,NaN,NaN,50,NaN,48,NaN,NaN,NaN,78,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1
402125026,80,93,NaN,93,91,NaN,NaN,NaN,93,90,95,83,NaN,91,100,91,76,NaN,91,95,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,78,NaN,76,90,NaN,NaN,NaN,NaN,93,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,95,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
