id,1101211@詩選及習作（一）@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101546@西遊記@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1102041@書法與篆刻美學（一）@1@1,1102145@莊子@1@1,1102514@詩經@1@1,1102916@文學與劇場改編@1@1,1103260@魯迅文學作品選讀@1@1,1103411@禮記（一）@1@1,1101083@寫作指導@2@1,1101212@詩選及習作（二）@2@1,1101312@語言學概論（二）@2@1,1101412@國學導讀（二）@2@1,1101812@文學概論（二）@2@1,1101825@儒家文獻選讀@2@1,1101888@學系服務學習@2@1,1101933@書道與日常應用@2@1,1102124@經學史@2@1,1102540@漢籍英譯選讀@2@1,1102613@左傳@2@1,1103412@禮記（二）@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1103826@周易@2@1,1104761@音樂文創與文案書寫@2@1,1101613@民間文學@1@1,1101934@書法基礎入門@1@1,1101951@茶道與文學@1@1,1102011@文字學（一）@1@1,1102051@水墨創作@1@1,1102523@現代小說@1@1,1102525@唐人小說選讀@1@1,1102615@史傳名著選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102711@歷代文選及習作（一）@1@1,1102720@詞選及習作@1@1,1102823@老子@1@1,1103311@聲韻學（一）@1@1,1103417@大戴禮記@1@1,1103628@華文戲劇選讀@1@1,1103705@詞選及習作@1@1,1103830@陰陽五行文獻選讀@1@1,1101520@現代散文@2@1,1101617@閩南俗曲@2@1,1101935@書道與視覺設計@2@1,1102012@文字學（二）@2@1,1102033@佛學概論@2@1,1102043@篆刻藝術@2@1,1102161@論語：孔子全傳@2@1,1102510@曲選及習作@2@1,1102633@現代詩@2@1,1102712@歷代文選及習作（二）@2@1,1102917@當代戲劇文本與實驗劇場@2@1,1103151@民俗學概論@2@1,1103204@金瓶梅@2@1,1103249@當代文學思潮@2@1,1103312@聲韻學（二）@2@1,1103703@曲選及習作@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1104148@紅樓夢@2@1,1104224@楚辭@2@1,1104511@台灣文學史@2@1,1104612@張愛玲小說選讀@2@1,1101084@寫作指導：散文@1@1,1101618@臺灣民俗（一）@1@1,1101846@戲劇概論@1@1,1102052@水墨創作：山水@1@1,1102270@神話學@1@1,1102636@現代詩與文化創意@1@1,1103021@中國文學史（一）@1@1,1103111@中國思想史（一）@1@1,1103271@日本漢學史@1@1,1103333@古文字學@1@1,1103826@周易@1@1,1103951@民俗文獻選讀@1@1,1103958@劇本創作實務（一）@1@1,1104611@當代文化思潮@1@1,1101113@中國哲學概論@2@1,1101619@臺灣民俗（二）@2@1,1102125@經學史：當代詮釋@2@1,1102153@史記@2@1,1102162@孟子：雄辯身影@2@1,1102918@大陸現當代文學電影@2@1,1103022@中國文學史（二）@2@1,1103112@中國思想史（二）@2@1,1103255@西方現代文學理論@2@1,1103421@左傳@2@1,1103521@六朝志怪小說@2@1,1103815@現代成長小說選讀@2@1,1103834@法家與時代轉型@2@1,1103913@書寫、影像與編輯@2@1,1103959@劇本創作實務（二）@2@1,1104218@東周列國志@2@1
403110001,81,NaN,77,76,69,92,NaN,NaN,NaN,NaN,NaN,NaN,50,-1,NaN,77,66,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,90,NaN,NaN,NaN,77,NaN,90,NaN,NaN,NaN,67,89,NaN,84,NaN,86,NaN,NaN,90,NaN,NaN,73,NaN,NaN,NaN,83,NaN,61,85,NaN,NaN,80,-1,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,88,NaN,NaN,NaN,75,71,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403110003,88,86,83,84,88,92,NaN,87,NaN,NaN,NaN,NaN,88,94,73,90,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,93,NaN,NaN,NaN,84,90,85,NaN,82,NaN,92,NaN,NaN,NaN,NaN,NaN,78,NaN,94,NaN,91,NaN,79,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,93,74,73,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403110004,82,NaN,75,89,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,82,NaN,82,78,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,87,NaN,75,81,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,91,NaN,81,90,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403110005,82,NaN,79,85,65,92,NaN,82,NaN,NaN,NaN,85,NaN,66,NaN,88,87,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,88,93,NaN,84,73,86,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,69,NaN,NaN,NaN,82,NaN,75,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,92,NaN,NaN,89,NaN,NaN,NaN,67,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110008,83,NaN,78,75,73,NaN,NaN,NaN,81,NaN,NaN,90,NaN,84,NaN,69,68,NaN,94,NaN,NaN,NaN,85,NaN,NaN,NaN,92,NaN,NaN,NaN,60,85,81,NaN,NaN,NaN,71,79,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,92,NaN,67,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,89,72,51,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110009,81,93,86,99,77,92,NaN,NaN,NaN,NaN,NaN,91,NaN,96,NaN,98,86,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,93,NaN,NaN,NaN,91,95,NaN,NaN,89,NaN,90,92,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,95,NaN,89,NaN,91,NaN,78,NaN,95,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,79,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110010,78,NaN,81,79,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110011,83,NaN,87,89,83,92,NaN,86,93,NaN,NaN,NaN,NaN,84,NaN,79,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,76,91,NaN,95,NaN,NaN,NaN,NaN,88,NaN,NaN,83,NaN,-1,NaN,86,91,90,90,NaN,NaN,NaN,-1,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,79,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403110012,81,NaN,90,78,75,NaN,NaN,71,90,NaN,NaN,91,NaN,88,NaN,98,75,NaN,94,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,86,NaN,89,90,NaN,96,95,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,81,NaN,92,NaN,67,NaN,NaN,-1,NaN,81,82,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403110013,82,73,71,87,71,92,NaN,NaN,75,NaN,NaN,NaN,NaN,70,NaN,76,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,60,NaN,77,NaN,NaN,NaN,63,75,NaN,79,NaN,NaN,NaN,NaN,74,NaN,NaN,63,NaN,NaN,NaN,80,90,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,60,88,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403110014,86,83,83,88,78,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,82,90,90,68,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,85,87,91,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,-1,92,83,NaN,73,NaN,73,NaN,82,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,87,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403110015,79,NaN,79,80,70,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,75,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,93,NaN,79,87,NaN,73,78,NaN,97,NaN,86,NaN,NaN,NaN,NaN,NaN,89,NaN,93,NaN,82,90,67,NaN,67,NaN,68,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403110016,83,77,77,84,75,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,84,73,69,64,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,92,NaN,86,87,NaN,83,87,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,92,87,79,91,76,NaN,69,81,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403110017,84,NaN,74,62,65,92,NaN,NaN,69,NaN,NaN,NaN,NaN,71,NaN,62,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,91,NaN,47,80,NaN,0,69,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,80,NaN,88,NaN,67,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,39,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110018,84,NaN,80,NaN,75,NaN,NaN,73,68,NaN,NaN,NaN,NaN,83,NaN,91,67,NaN,94,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,84,81,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,-1,NaN,65,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403110019,82,80,75,NaN,82,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,-1,81,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,71,78,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,87,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,66,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
