id,1101083@寫作指導@1@1,1101113@中國哲學概論@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101617@閩南俗曲@1@1,1101711@神話學（一）@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1101915@書法（一）@1@1,1103621@當代戲曲@1@1,1104150@古典崑劇與當代展演@1@1,1101312@語言學概論（二）@2@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101523@魯迅文學作品選讀@2@1,1101538@中國寓言選讀@2@1,1101543@中國小說選@2@1,1101712@神話學（二）@2@1,1101812@文學概論（二）@2@1,1101841@戲曲名家劇作研讀@2@1,1101888@學系服務學習@2@1,1101916@書法（二）@2@1,1102124@經學史@2@1,1103340@書法史@2@1,1103622@製作與展演@2@1,1103623@經典與改編：跨文化戲劇閱讀@2@1,1103815@現代成長小說選讀@2@1,1101821@儒家文獻選讀（一）@1@1,1101845@現代歐美劇場文本選讀@1@1,1102011@文字學（一）@1@1,1102021@中國文學史（一）@1@1,1102028@書法美學@1@1,1102123@經學通論@1@1,1102511@詩選及習作（一）@1@1,1102523@現代小說@1@1,1102615@史傳名著選讀@1@1,1102653@歐美漢學史@1@1,1102711@歷代文選及習作（一）@1@1,1102915@戲劇製作@1@1,1103624@現代中國戲劇@1@1,1103951@民俗文獻選讀@1@1,1101822@儒家文獻選讀（二）@2@1,1102012@文字學（二）@2@1,1102022@中國文學史（二）@2@1,1102029@篆刻美學@2@1,1102145@莊子@2@1,1102150@史記@2@1,1102512@詩選及習作（二）@2@1,1102514@詩經@2@1,1102613@左傳@2@1,1102712@歷代文選及習作（二）@2@1,1104151@深入經典－桃花扇@2@1,1104152@畢業製作與展演@2@1,1104735@專家詞：蘇東坡詞@2@1,1104950@文物精品與文化中國@2@1,1101123@兒童哲學與故事講述@1@1,1101613@民間文學@1@1,1102041@書法與篆刻美學（一）@1@1,1102314@客家語概論@1@1,1103111@中國思想史（一）@1@1,1103311@聲韻學（一）@1@1,1103411@禮記（一）@1@1,1103626@文學、電影與大陸當代戲劇@1@1,1103705@詞選及習作@1@1,1103827@周易@1@1,1103829@陰陽五行文獻選讀@1@1,1103940@文獻學@1@1,1103952@劇本創作實務@1@1,1104142@明清傳奇與崑劇@1@1,1104218@東周列國志@1@1,1102042@書法與篆刻美學（二）@2@1,1102313@閩南語概論@2@1,1102525@唐人小說選讀@2@1,1103112@中國思想史（二）@2@1,1103200@明清小說@2@1,1103249@當代文學思潮@2@1,1103255@西方現代文學理論@2@1,1103312@聲韻學（二）@2@1,1103412@禮記（二）@2@1,1103703@曲選及習作@2@1,1103736@專家詩：蘇東坡詩@2@1,1103828@宋明理學@2@1,1103953@社會問題與劇本創作@2@1,1104113@禪宗思想導讀@2@1,1102030@詩與畫：文學閱讀與圖像觀看@1@1,1102145@莊子@1@1,1102514@詩經@1@1,1102916@文學與劇場改編@1@1,1103141@中國俗文學（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103521@六朝志怪小說@1@1,1103613@中國戲劇選讀@1@1,1103627@西方戲劇選讀@1@1,1103954@劇本寫作與搬演@1@1,1103955@社會關懷與劇場應用@1@1,1104125@韓非子@1@1,1104219@左氏春秋@1@1,1104313@訓詁學@1@1,1104611@當代文化思潮@1@1,1101083@寫作指導@2@1,1101933@書道與日常應用@2@1,1102154@國語@2@1,1102540@漢籍英譯選讀@2@1,1103142@中國俗文學（二）@2@1,1103225@文學批評@2@1,1103522@聊齋誌異選讀@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1103940@文獻學@2@1,1103956@劇本創作實務@2@1,1104154@中國話劇選讀@2@1,1104761@音樂文創與文案書寫@2@1,1101934@書法基礎入門@1@1,1102051@水墨創作@1@1,1102661@台灣現代主義小說選讀@1@1,1102823@老子@1@1,1103417@大戴禮記@1@1,1102033@佛學概論@2@1
400110016,NaN,NaN,NaN,83,72,91,79,NaN,NaN,81,83,NaN,82,91,NaN,NaN,NaN,NaN,76,NaN,80,NaN,NaN,NaN,81,86,NaN,NaN,NaN,79,79,85,NaN,87,81,NaN,NaN,82,NaN,NaN,NaN,NaN,80,82,NaN,NaN,89,82,NaN,85,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,87,NaN,87,91,NaN,90,NaN,NaN,NaN,75,NaN,NaN,NaN,95,NaN,87,88,88,NaN,91,97,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,80,NaN,84,93,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
400110026,NaN,NaN,NaN,77,69,NaN,83,NaN,NaN,NaN,NaN,NaN,67,86,77,83,90,NaN,79,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,82,NaN,NaN,84,83,NaN,NaN,73,NaN,NaN,NaN,NaN,71,73,NaN,NaN,81,77,NaN,NaN,81,NaN,NaN,NaN,NaN,76,83,NaN,NaN,86,78,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,84,NaN,75,NaN,84,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110028,NaN,NaN,NaN,74,64,NaN,83,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,74,80,NaN,78,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,73,92,NaN,75,NaN,NaN,83,76,NaN,NaN,NaN,NaN,60,71,81,NaN,82,72,NaN,85,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,78,NaN,NaN,73,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,76,NaN,71,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,77,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110030,NaN,NaN,77,64,NaN,NaN,70,NaN,81,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,68,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,69,72,NaN,80,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,66,81,NaN,NaN,NaN,80,NaN,NaN,86,NaN,NaN,NaN,NaN,86,NaN,88,88,66,87,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,85,67,NaN,60,NaN,NaN,NaN,64,NaN,74,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,82,NaN,NaN,NaN,NaN,65,87,93,NaN,NaN,NaN,NaN
400110040,NaN,NaN,NaN,74,NaN,81,89,NaN,NaN,NaN,NaN,NaN,77,84,NaN,79,90,NaN,79,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,66,83,NaN,80,77,75,83,72,NaN,NaN,NaN,NaN,82,72,NaN,NaN,90,85,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,90,NaN,NaN,92,NaN,NaN,80,NaN,NaN,90,NaN,NaN,NaN,73,NaN,NaN,NaN,80,NaN,88,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110043,NaN,NaN,NaN,75,NaN,68,83,60,NaN,76,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110045,NaN,NaN,NaN,71,NaN,NaN,60,60,NaN,NaN,80,NaN,67,79,78,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,67,NaN,NaN,71,73,NaN,NaN,66,85,NaN,NaN,NaN,60,60,NaN,NaN,NaN,74,NaN,NaN,78,NaN,NaN,NaN,NaN,80,NaN,78,NaN,77,75,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,62,NaN,79,82,79,NaN,81,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110048,NaN,NaN,NaN,93,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110050,NaN,NaN,NaN,82,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,91,85,NaN,85,89,NaN,74,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,78,65,NaN,NaN,73,79,NaN,NaN,72,NaN,NaN,NaN,81,77,70,NaN,NaN,87,83,NaN,85,70,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,77,90,92,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,85,NaN,NaN,83,76,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,53,NaN,NaN,14,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110055,NaN,NaN,NaN,69,NaN,NaN,77,93,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,50,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,66,NaN,NaN,71,NaN,NaN,82,60,NaN,NaN,NaN,NaN,63,60,NaN,NaN,74,70,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,72,66,68,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,73,NaN,60,80,75,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN
400110054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,60,74,NaN,81,63,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,79,65,NaN,NaN,NaN,64,NaN,82,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,76,71,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,70,78,75,65,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110057,NaN,NaN,NaN,66,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,60,NaN,NaN,80,69,75,NaN,NaN,NaN,NaN,NaN,NaN,74,67,NaN,89,NaN,71,NaN,80,NaN,60,NaN,NaN,NaN,NaN,81,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,81,NaN,78,75,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
