id,4155101@數位訊號處理@1@1,4155102@影像處理@1@1,4155112@射頻電路設計@1@1,4155116@射頻通訊積體電路@1@1,4155298@機器學習與類神經網路（特別篇）@1@1,4155318@奈米積體電路設計@1@1,4155545@智慧電網導論@1@1,4155549@現代控制系統@1@1,4155553@整合再生能源分散式發電之電力系統分析@1@1,4155559@單晶微波積體電路@1@1,4155560@微波主動電路設計@1@1,4156001@專題演講（一）@1@1,4156028@數位訊號處理專論@1@1,4156030@微波與毫米波技術專論@1@1,4156101@VLSI信號處理@1@1,4156107@個人及行動通信@1@1,4156108@天線理論與設計@1@1,4156114@醫學信號處理@1@1,4156139@無線通訊積體電路@1@1,4156200@視訊處理@1@1,4156302@工業機器人及應用@1@1,4156321@SOC 設計方法論@1@1,4156333@高電壓工程@1@1,4157016@高等電機理論@1@1,4157021@生醫植入晶片系統@1@1,4158815@物件導向軟體工程@1@1,4155103@語音處理@2@1,4155130@射頻功率放大器@2@1,4155297@軟體架構@2@1,4155312@無線通訊之射頻模組@2@1,4155314@DSP 處理器設計@2@1,4155401@機器學習@2@1,4155503@電力電子學@2@1,4155511@保護電驛@2@1,4155517@微波通訊平面與多層電路設計@2@1,4155529@電腦視覺@2@1,4155531@特殊應用積體電路設計@2@1,4155537@雷達系統原理@2@1,4155538@嵌入式開放源碼系統@2@1,4155552@奈米積體電路實體設計自動化@2@1,4156002@專題演講（二）@2@1,4156027@智慧型系統專論@2@1,4156028@數位訊號處理專論@2@1,4156029@SOC 專論@2@1,4156035@智慧電網專論@2@1,4156036@微波積體電路專論@2@1,4156130@嵌入式記憶體設計@2@1,4156133@醫療儀器學@2@1,4156201@多視角視訊編解碼技術@2@1,4156324@智慧型代理人系統@2@1,4156325@混合訊號積體電路@2@1,4156331@高等智慧機器人學@2@1,4156499@風力發電@2@1,4156502@配電工程@2@1,4157014@智慧型控制@2@1,4155296@微處理器設計與製造@1@1,4155306@類比積體電路設計@1@1,4155315@電力品質@1@1,4155500@太陽能發電系統@1@1,4155529@電腦視覺@1@1,4155530@生醫積體電路設計@1@1,4156036@微波積體電路專論@1@1,4156133@醫療儀器學@1@1,4155543@超大型積體電路電腦輔助設計@2@1,4155553@整合再生能源分散式發電之電力系統分析@2@1,4155561@高速電路訊號完整性@2@1,4156143@工程最佳化@2@1,4157016@高等電機理論@2@1,4155554@非線性控制系統@1@1
602415019,73,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,87,NaN,93,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602415064,82,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,89,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,87,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
602415067,96,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,85,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602415098,82,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,85,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602415101,71,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,82,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,70,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN
602415113,78,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN
602415124,72,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,95,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602415129,76,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602415152,76,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,92,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602415155,70,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,80,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
