id,4305070@無線區域網路@2@1,4305129@高等電腦網路@2@1,4305132@專題演講（二）@2@1,4305177@JAVA在網路的應用@2@1,4305180@聯網嵌入式系統@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305087@消息理論@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305146@通訊訊號處理專論@1@1,4305156@頻譜分析與方位估計@1@1,4305159@網路最佳化@1@1,4305164@下世代行動通訊系統(一)@1@1,4305169@分散式訊源編碼@1@1,4305175@微處理機系統與介面技術@1@1,4305176@嵌入式聯網感測系統專論@1@1,4305019@錯誤更正碼@2@1,4305079@正交分頻多重進接技術@2@1,4305099@高存活網路與安全確保@2@1,4305106@適應性陣列信號處理@2@1,4305110@格網結構@2@1,4305127@資料網路規劃與設計@2@1,4305135@光通訊網路@2@1,4305160@智慧型天線專論@2@1,4305162@異質無線網路漫遊與換手技術@2@1,4305165@合作式通訊@2@1,4305167@多天線多重輸入輸出技術@2@1,4305182@下世代行動通訊系統(二)@2@1,4305183@最佳化導論@2@1,4305070@無線區域網路@1@1,4305153@錯誤更正碼專論@1@1,4305174@網路路由與傳輸控制專論@1@1,4305179@嵌入式作業系統@1@1,4305087@消息理論@2@1,4305130@通訊系統模擬@2@1,4305133@網路互連@2@1,4305136@網路模擬技術與應用@2@1,4305144@網路安全專論@2@1,4305166@多天線信號處理專論@2@1,4305172@合作式通訊專論@2@1
603430060,NaN,NaN,88,NaN,NaN,NaN,45,81,NaN,NaN,85,82,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430063,NaN,NaN,82,NaN,NaN,NaN,33,80,NaN,NaN,75,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430071,NaN,NaN,82,NaN,NaN,74,40,84,81,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,85,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90
603430002,NaN,85,83,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,81,87,NaN,NaN,NaN,91,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430003,NaN,NaN,89,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430007,NaN,NaN,90,NaN,83,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430010,NaN,85,87,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,78,89,NaN,NaN,NaN,83,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430011,NaN,NaN,86,89,NaN,NaN,NaN,80,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430012,NaN,NaN,79,91,NaN,NaN,NaN,75,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430013,NaN,87,90,NaN,NaN,NaN,NaN,85,83,96,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430020,NaN,87,94,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,80,83,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,70,88,NaN,NaN,78,75,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430024,NaN,NaN,89,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,72,85,NaN,NaN,NaN,74,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN
603430029,NaN,NaN,85,NaN,NaN,NaN,NaN,93,96,83,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
603430035,NaN,NaN,80,88,NaN,NaN,NaN,78,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430036,NaN,NaN,80,NaN,NaN,NaN,NaN,85,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
603430037,NaN,92,87,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,80,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430038,NaN,NaN,83,90,NaN,NaN,NaN,78,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN
603430043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,54,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430076,NaN,83,87,NaN,NaN,NaN,NaN,89,86,NaN,NaN,NaN,76,81,86,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,25,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430077,NaN,NaN,80,NaN,NaN,48,NaN,83,86,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430058,NaN,NaN,70,NaN,NaN,NaN,NaN,80,NaN,NaN,61,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,74,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,66,NaN,NaN,36,NaN,NaN,NaN,76,70,NaN,NaN,NaN,NaN,NaN
