id,6055128@刑法基礎理論專題研究（二）@2@1,6055144@刑事政策專題研究（一）@2@1,6055148@刑事證據法專題研究（二）@2@1,6055346@法學日文（二）@2@1,6055501@刑事法學專題研究（二）@2@1,6055013@日文法學名著選讀（一）@1@1,6055064@商事法專題研究－國際保險監理(二)@1@1,6055082@商事法專題研究－國際海事法@1@1,6055086@商事法專題研究（二）@1@1,6055102@社會法專題研究（二）@1@1,6055103@憲法專題研究－基本人權（一）@1@1,6055109@行政法專題研究－行政作用法（一）@1@1,6055134@刑法基礎理論專題研究（三）@1@1,6055145@刑事證據法專題研究（一）@1@1,6055147@刑事政策專題研究（二）@1@1,6055168@勞動法專論選讀與論文寫作（三）@1@1,6055175@勞動法專題研究（一）@1@1,6055207@國際公法基礎理論之研究（一）@1@1,6055211@行政法專題研究－行政救濟法（一）@1@1,6055217@憲法訴訟專題研究（一）@1@1,6055310@法學英文（三）@1@1,6055321@民法專題研究（財產法）（五）@1@1,6055329@民法專題研究（財產法）（八）@1@1,6055343@法學德文（一）@1@1,6055345@法學日文（一）@1@1,6055380@民事特別法專題研究（一）－信託法@1@1,6055403@行政法基礎理論與行政組織法專題研究（一）@1@1,6055418@比較公法專題研究（三）@1@1,6055458@國際私法專題研究－涉外家事爭訟之理論與實務 （一）@1@1,6055479@法理學及法學方法專題研究（四）@1@1,6055489@科際法律專題研究（一）@1@1,6055499@法律史專題研究（三）@1@1,6055504@刑事法學專題研究（三）@1@1,6055508@比較刑法專題研究（一）@1@1,6055542@公法理論與實務專題研究（一）－憲法與行政法之整合@1@1,6055014@日文法學名著選讀（二）@2@1,6055072@商事法專題研究（保險法）(三)@2@1,6055087@商事法專題研究 (三)@2@1,6055100@社會法專題研究（三）@2@1,6055104@憲法專題研究－基本人權（二）@2@1,6055140@刑法基礎理論專題研究（四）@2@1,6055149@刑事政策專題研究 (三)@2@1,6055176@勞動法專題研究（二）@2@1,6055199@日本勞動法專題研究@2@1,6055212@行政法專題研究－行政救濟法（二）@2@1,6055213@行政法專題研究－行政作用法（二）@2@1,6055326@民事程序法專題研究（民事訴訟法）（二）@2@1,6055344@法學德文（二）@2@1,6055353@法學英文（四）@2@1,6055386@民事特別法專題研究（四）－土地法@2@1,6055396@民事特別法專題研究（十五）－消費者保護法與公平交易法（一）@2@1,6055411@行政法基礎理論與行政組織法專題研究（二）@2@1,6055419@比較公法專題研究（四）@2@1,6055422@國際私法專題研究 － 涉外財產訴訟之理論與實務（一）@2@1,6055440@國際環境法專題研究（一）@2@1,6055484@科際法律專題研究（二）－法律規訓與專業倫理（二）@2@1,6055496@法律史專題研究（四）@2@1,6055505@刑事法學專題研究（四）@2@1,6055509@比較刑法專題研究（二）@2@1,6055543@公法理論與實務專題研究（二）－憲法與行政法之整合@2@1,6055007@德文法學名著選讀（一）@1@1,6055061@商事法專題研究－國際保險監理（三）@1@1,6055068@商事法專題研究－國際海事法（三）@1@1,6055088@商事法專題研究（四）@1@1,6055101@社會法專題研究（一）@1@1,6055139@刑法基礎理論專題研究（五）@1@1,6055152@刑事政策專題研究 (四)@1@1,6055155@刑事訴訟法專題研究（一）@1@1,6055169@勞動法專論選讀與論文寫作（四）@1@1,6055183@勞動法專題研究（三）@1@1,6055208@國際公法基礎理論之研究（二）@1@1,6055247@憲法基礎理論專題研究（一）@1@1,6055320@民法專題研究（財產法）（四）@1@1,6055322@民法專題研究（財產法）（六）@1@1,6055330@民法專題研究（財產法）（九）@1@1,6055335@法學日文（三）@1@1,6055351@法學英文（一）@1@1,6055406@比較公法專題研究（一）@1@1,6055437@憲法理論與實務專題研究（一）@1@1,6055459@國際私法專題研究－涉外家事爭訟之理論與實務 （二）@1@1,6055467@法理學及法學方法專題研究@1@1,6055485@科際法律專題研究（三）@1@1,6055497@法律史專題研究（一）@1@1,6055507@刑事法學專題研究（一）@1@1,6055055@企業併購法專題研究@2@1,6055058@商事法專題研究（保險法）（四）@2@1,6055085@商事法專題研究（一）@2@1,6055102@社會法專題研究（二）@2@1,6055161@刑法基礎理論專題研究（六）@2@1,6055184@勞動法專題研究（四）@2@1,6055200@日本勞動法專題研究（二）@2@1,6055248@憲法基礎理論專題研究（二）@2@1,6055325@民事程序法專題研究（民事訴訟法）（一）@2@1,6055336@法學日文（四）@2@1,6055352@法學英文（二）@2@1,6055380@民事特別法專題研究（一）－信託法@2@1,6055397@民事特別法專題研究（十五）－消費者保護法與公平交易法（二）@2@1,6055417@比較公法專題研究（二）@2@1,6055424@國際私法專題研究 － 涉外財產訴訟之理論與實務（二）@2@1,6055441@國際環境法專題研究（二）@2@1,6055468@法理學及法學方法專題研究（二）@2@1,6055486@科際法律專題研究（四）@2@1,6055498@法律史專題研究（二）@2@1
604605034,NaN,NaN,84,86,NaN,NaN,NaN,NaN,92,91,NaN,NaN,NaN,NaN,NaN,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,87,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,93,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,92,91,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605053,NaN,NaN,87,95,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,93,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605001,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,93,88,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,94,NaN,91,NaN,NaN,NaN,91,NaN,96,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604605026,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,89,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,88,NaN,79,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604605040,NaN,NaN,-1,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,87,NaN,86,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,88,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,87,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,93,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,95,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,94,NaN,94,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605013,NaN,NaN,-1,87,NaN,NaN,NaN,NaN,NaN,NaN,90,95,NaN,82,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,93,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605020,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,90,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,93,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,93,NaN,82,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,93,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,94,NaN,94,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
604605043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,93,NaN,86,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,93,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604605045,NaN,NaN,88,85,NaN,NaN,NaN,NaN,NaN,NaN,88,93,NaN,85,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,-1,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
