id,2605202@有機合成（二）@1@1,2605237@生化分子@1@1,2605266@有機反應與機制@1@1,2605317@固態化學@1@1,2605338@無機光譜化學@1@1,2605417@高等量子化學@1@1,2605421@化學動力學（一）@1@1,2605507@光譜化學分析與化學計量學@1@1,2605531@生物分析化學（一）@1@1,2605717@工業觸媒化學@1@1,2605901@有機化學書報討論（一）@1@1,2605905@無機化學書報討論（一）@1@1,2605909@物理化學書報討論（一）@1@1,2605913@分析化學書報討論（一）@1@1,2605211@高等有機化學（一）@2@1,2605242@有機光譜分析化學（二）@2@1,2605256@高等有機合成@2@1,2605269@藥物生化@2@1,2605302@高等無機化學（二）@2@1,2605328@有機金屬化學@2@1,2605442@光譜應用（二）@2@1,2605457@計算化學@2@1,2605519@電分析與感測器@2@1,2605527@分離方法@2@1,2605707@奈米材料科學@2@1,2605729@綠能科技概論@2@1,2605921@有機化學書報討論（二）@2@1,2605925@無機化學書報討論（二）@2@1,2605926@無機化學書報討論（四）@2@1,2605929@物理化學書報討論（二）@2@1,2605933@分析化學書報討論（二）@2@1,2605307@高等無機化學@1@1,2605441@光譜應用（一）@1@1,2605902@有機化學書報討論（三）@1@1,2605906@無機化學書報討論（三）@1@1,2605910@物理化學書報討論（三）@1@1,2605914@分析化學書報討論（三）@1@1,2605922@有機化學書報討論（四）@2@1,2605930@物理化學書報討論（四）@2@1,2605934@分析化學書報討論（四）@2@1
603260023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,87,78,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,83,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,86
603260034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,84,85,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,95,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,88
603260036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,83,70,NaN,NaN,NaN,84,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,78,95,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,86
603260038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,92,75,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,88,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,91
603260046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,84,74,NaN,NaN,NaN,84,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,86
603260048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,89,84,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,91,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,83
603260059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,85,76,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,78,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,79
603260078,NaN,NaN,NaN,NaN,NaN,90,NaN,70,79,72,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,82,NaN
603260082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,71,73,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,75,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,88
603260083,NaN,80,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,61,NaN,NaN,70,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,87,NaN,NaN,82,NaN,NaN,84,NaN
