id,4205001@工程分析（一）@1@1,4205004@有限元素分析@1@1,4205005@線性系統@1@1,4205007@彈性力學@1@1,4205101@機構設計@1@1,4205102@電腦輔助機器設計@1@1,4205106@齒輪原理@1@1,4205111@虛擬實境技術與機械設備作動模擬@1@1,4205201@電腦輔助機械製造@1@1,4205302@聲學@1@1,4205362@半導體元件及物理@1@1,4205451@材料機械性質@1@1,4205502@中等熱力學@1@1,4205510@進階流體力學@1@1,4205512@奈微米流體工程@1@1,4205563@氫能與燃料電池@1@1,4205602@磨潤學（一）@1@1,4205704@數位訊號處理@1@1,4205712@界面物理與薄膜製程@1@1,4205713@電動機驅動與控制@1@1,4205759@系統鑑別@1@1,4205769@影像分析與應用@1@1,4205803@機器人學@1@1,4205904@專題研討@1@1,4206154@精密機械設計@1@1,4206301@結構動力學@1@1,4207701@運動控制@1@1,4205051@工程分析（二）@2@1,4205054@高等電腦輔助工程分析方法@2@1,4205109@高等電腦輔助幾何設計@2@1,4205151@高等機構設計@2@1,4205154@高等齒輪原理@2@1,4205161@高等機器人學@2@1,4205162@工具機PC NC架構之CNC人機介面設計與應用@2@1,4205251@電腦控制製造系統@2@1,4205356@高等聲學@2@1,4205363@工程塑性力學@2@1,4205401@銲接工程概論@2@1,4205505@內燃機設計@2@1,4205601@中等流體力學@2@1,4205653@磨潤學（二）@2@1,4205765@軟性電子印刷製程@2@1,4205771@工具機結構分析與控制@2@1,4205958@專題研討@2@1,4205960@微機電系統@2@1,4206356@疲勞分析與設計@2@1,4206701@數位控制系統設計@2@1,4206706@控制電子@2@1,4206760@高等應用數學@2@1,4206952@特論（二）：旋轉機械動力學@2@1,4208352@光電子學@2@1
605420072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,92,NaN,95,81,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,72,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,75,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,92,NaN,86,82,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,56,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,79,92,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605420125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,90,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605420126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,90,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,90,NaN,NaN,NaN,70,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605420031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,82,NaN,NaN,NaN,57,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
605420034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,83,NaN,NaN,NaN,78,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605420039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,72,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
605420088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,84,NaN,NaN,NaN,70,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
605420123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,87,82,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN
605420104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605420131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
